timestamp_jst,temperature_c,relative_humidity_pct,outdoor_wind_speed_mps,thi,thi_risk_band,temperature_delta_c,source_kind,source_id
2024-08-17T01:00:00+09:00,27.7,88.0,7.7,80.29,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T02:00:00+09:00,28.6,79.0,8.7,80.54,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T03:00:00+09:00,28.5,80.0,7.9,80.52,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T04:00:00+09:00,28.6,81.0,5.7,80.82,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T05:00:00+09:00,28.7,79.0,4.2,80.7,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T06:00:00+09:00,29.2,77.0,4.1,81.2,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T07:00:00+09:00,29.9,72.0,3.2,81.54,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T08:00:00+09:00,30.5,71.0,2.5,82.29,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T09:00:00+09:00,31.8,68.0,2.9,83.74,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T10:00:00+09:00,32.8,65.0,2.5,84.68,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T11:00:00+09:00,34.3,58.0,1.4,85.48,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T12:00:00+09:00,36.2,53.0,1.1,87.04,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T13:00:00+09:00,35.7,54.0,4.5,86.58,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T14:00:00+09:00,36.5,49.0,2.4,86.56,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T15:00:00+09:00,33.8,72.0,4.9,87.47,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T16:00:00+09:00,32.3,78.0,6.4,86.25,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T17:00:00+09:00,32.5,77.0,6.7,86.39,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T18:00:00+09:00,31.6,80.0,6.2,85.48,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T19:00:00+09:00,31.2,82.0,4.9,85.17,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T20:00:00+09:00,31.0,84.0,1.7,85.18,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T21:00:00+09:00,31.2,81.0,1.5,85.01,very_high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T22:00:00+09:00,30.8,82.0,1.9,84.53,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T23:00:00+09:00,28.8,86.0,3.9,81.85,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
2024-08-17T00:00:00+09:00,28.4,89.0,3.8,81.6,high,1.0,transparent_demo_stress_scenario,jma_observed_profile_plus_delta
